Task ID,Task Name,SOPs,PPEs
139,Task 139: Operation Plumbing,"SOP 432: Detailed Procedure on Task, SOP 125: Detailed Procedure on Task","Insulated Gloves, Gloves"
140,Task 140: Operation Painting,"SOP 515: Detailed Procedure on Task, SOP 947: Detailed Procedure on Task, SOP 880: Detailed Procedure on Task, SOP 561: Detailed Procedure on Task, SOP 966: Detailed Procedure on Task","Face Shield, Safety Boots"
141,Task 141: Operation Electrical Repair,"SOP 686: Detailed Procedure on Task, SOP 899: Detailed Procedure on Task, SOP 551: Detailed Procedure on Task, SOP 694: Detailed Procedure on Task","Respirator, Apron, Ear Plugs"
142,Task 142: Operation Painting,"SOP 212: Detailed Procedure on Task, SOP 745: Detailed Procedure on Task, SOP 678: Detailed Procedure on Task, SOP 598: Detailed Procedure on Task","Gloves, Respirator, Ear Plugs, Face Shield, Goggles"
143,Task 143: Operation Electrical Repair,"SOP 382: Detailed Procedure on Task, SOP 834: Detailed Procedure on Task, SOP 854: Detailed Procedure on Task, SOP 384: Detailed Procedure on Task","Ear Plugs, Face Shield"
144,Task 144: Operation Welding,"SOP 453: Detailed Procedure on Task, SOP 545: Detailed Procedure on Task, SOP 815: Detailed Procedure on Task, SOP 201: Detailed Procedure on Task","Safety Boots, Face Shield"
145,Task 145: Operation Painting,"SOP 306: Detailed Procedure on Task, SOP 977: Detailed Procedure on Task","Helmet, Goggles, Ear Plugs"
146,Task 146: Operation Chemical Handling,"SOP 489: Detailed Procedure on Task, SOP 454: Detailed Procedure on Task, SOP 896: Detailed Procedure on Task","Apron, Safety Boots"
147,Task 147: Operation Electrical Repair,"SOP 985: Detailed Procedure on Task, SOP 513: Detailed Procedure on Task","Ear Plugs, Insulated Gloves, Safety Boots, Respirator"
148,Task 148: Operation Painting,"SOP 512: Detailed Procedure on Task, SOP 664: Detailed Procedure on Task, SOP 572: Detailed Procedure on Task, SOP 519: Detailed Procedure on Task, SOP 217: Detailed Procedure on Task","Respirator, Apron"
149,Task 149: Operation Electrical Repair,"SOP 101: Detailed Procedure on Task, SOP 675: Detailed Procedure on Task, SOP 324: Detailed Procedure on Task, SOP 378: Detailed Procedure on Task","Face Shield, Goggles"
150,Task 150: Operation Mechanical Assembly,"SOP 353: Detailed Procedure on Task, SOP 348: Detailed Procedure on Task","Gloves, Face Shield"
151,Task 151: Operation Painting,"SOP 112: Detailed Procedure on Task, SOP 813: Detailed Procedure on Task, SOP 262: Detailed Procedure on Task, SOP 264: Detailed Procedure on Task","Insulated Gloves, Safety Boots, Apron"
152,Task 152: Operation Welding,"SOP 697: Detailed Procedure on Task, SOP 184: Detailed Procedure on Task, SOP 461: Detailed Procedure on Task, SOP 685: Detailed Procedure on Task, SOP 754: Detailed Procedure on Task","Safety Boots, Insulated Gloves, Goggles, Respirator"
153,Task 153: Operation Mechanical Assembly,"SOP 906: Detailed Procedure on Task, SOP 691: Detailed Procedure on Task, SOP 814: Detailed Procedure on Task","Safety Boots, Insulated Gloves, Apron"
154,Task 154: Operation Painting,"SOP 231: Detailed Procedure on Task, SOP 656: Detailed Procedure on Task, SOP 201: Detailed Procedure on Task, SOP 399: Detailed Procedure on Task","Helmet, Respirator, Safety Boots, Ear Plugs, Goggles"
155,Task 155: Operation Mechanical Assembly,"SOP 489: Detailed Procedure on Task, SOP 711: Detailed Procedure on Task","Safety Boots, Respirator, Insulated Gloves"
156,Task 156: Operation Plumbing,"SOP 823: Detailed Procedure on Task, SOP 446: Detailed Procedure on Task","Safety Boots, Insulated Gloves, Gloves, Respirator, Goggles"
157,Task 157: Operation Mechanical Assembly,"SOP 582: Detailed Procedure on Task, SOP 436: Detailed Procedure on Task","Respirator, Ear Plugs, Insulated Gloves"
158,Task 158: Operation Electrical Repair,"SOP 221: Detailed Procedure on Task, SOP 350: Detailed Procedure on Task, SOP 922: Detailed Procedure on Task, SOP 302: Detailed Procedure on Task","Respirator, Insulated Gloves, Gloves, Helmet"
159,Task 159: Operation Painting,"SOP 739: Detailed Procedure on Task, SOP 507: Detailed Procedure on Task, SOP 232: Detailed Procedure on Task, SOP 146: Detailed Procedure on Task","Apron, Face Shield, Ear Plugs"
160,Task 160: Operation Plumbing,"SOP 460: Detailed Procedure on Task, SOP 851: Detailed Procedure on Task, SOP 249: Detailed Procedure on Task","Helmet, Face Shield, Apron, Safety Boots"
161,Task 161: Operation Chemical Handling,"SOP 475: Detailed Procedure on Task, SOP 359: Detailed Procedure on Task, SOP 795: Detailed Procedure on Task","Ear Plugs, Helmet, Insulated Gloves"
162,Task 162: Operation Chemical Handling,"SOP 986: Detailed Procedure on Task, SOP 832: Detailed Procedure on Task","Gloves, Face Shield"
163,Task 163: Operation Painting,"SOP 368: Detailed Procedure on Task, SOP 564: Detailed Procedure on Task, SOP 712: Detailed Procedure on Task, SOP 753: Detailed Procedure on Task, SOP 212: Detailed Procedure on Task","Goggles, Ear Plugs, Respirator, Apron, Face Shield"
164,Task 164: Operation Chemical Handling,"SOP 301: Detailed Procedure on Task, SOP 654: Detailed Procedure on Task","Apron, Face Shield"
165,Task 165: Operation Plumbing,"SOP 185: Detailed Procedure on Task, SOP 769: Detailed Procedure on Task","Ear Plugs, Respirator, Gloves, Goggles, Insulated Gloves"
166,Task 166: Operation Welding,"SOP 615: Detailed Procedure on Task, SOP 603: Detailed Procedure on Task, SOP 447: Detailed Procedure on Task, SOP 403: Detailed Procedure on Task","Face Shield, Respirator, Insulated Gloves"
167,Task 167: Operation Painting,"SOP 661: Detailed Procedure on Task, SOP 379: Detailed Procedure on Task","Insulated Gloves, Respirator, Ear Plugs, Apron, Helmet"
168,Task 168: Operation Electrical Repair,"SOP 981: Detailed Procedure on Task, SOP 445: Detailed Procedure on Task, SOP 370: Detailed Procedure on Task, SOP 111: Detailed Procedure on Task, SOP 448: Detailed Procedure on Task","Gloves, Safety Boots"
169,Task 169: Operation Welding,"SOP 126: Detailed Procedure on Task, SOP 486: Detailed Procedure on Task, SOP 706: Detailed Procedure on Task, SOP 547: Detailed Procedure on Task","Insulated Gloves, Goggles, Gloves"
170,Task 170: Operation Electrical Repair,"SOP 762: Detailed Procedure on Task, SOP 330: Detailed Procedure on Task, SOP 480: Detailed Procedure on Task","Face Shield, Gloves, Insulated Gloves"
171,Task 171: Operation Chemical Handling,"SOP 993: Detailed Procedure on Task, SOP 751: Detailed Procedure on Task","Ear Plugs, Goggles, Respirator, Face Shield"
172,Task 172: Operation Plumbing,"SOP 714: Detailed Procedure on Task, SOP 214: Detailed Procedure on Task, SOP 819: Detailed Procedure on Task","Ear Plugs, Helmet"
173,Task 173: Operation Plumbing,"SOP 832: Detailed Procedure on Task, SOP 324: Detailed Procedure on Task","Ear Plugs, Safety Boots, Goggles, Insulated Gloves, Helmet"
174,Task 174: Operation Electrical Repair,"SOP 691: Detailed Procedure on Task, SOP 827: Detailed Procedure on Task","Face Shield, Insulated Gloves, Goggles, Apron, Safety Boots"
175,Task 175: Operation Plumbing,"SOP 666: Detailed Procedure on Task, SOP 345: Detailed Procedure on Task, SOP 974: Detailed Procedure on Task, SOP 348: Detailed Procedure on Task, SOP 309: Detailed Procedure on Task","Goggles, Apron, Safety Boots, Face Shield, Ear Plugs"
176,Task 176: Operation Painting,"SOP 110: Detailed Procedure on Task, SOP 279: Detailed Procedure on Task, SOP 703: Detailed Procedure on Task, SOP 312: Detailed Procedure on Task","Goggles, Safety Boots, Respirator, Apron"
177,Task 177: Operation Plumbing,"SOP 897: Detailed Procedure on Task, SOP 505: Detailed Procedure on Task, SOP 445: Detailed Procedure on Task, SOP 141: Detailed Procedure on Task, SOP 646: Detailed Procedure on Task","Safety Boots, Goggles, Ear Plugs"
178,Task 178: Operation Chemical Handling,"SOP 145: Detailed Procedure on Task, SOP 411: Detailed Procedure on Task","Safety Boots, Insulated Gloves, Ear Plugs, Respirator"
179,Task 179: Operation Plumbing,"SOP 480: Detailed Procedure on Task, SOP 549: Detailed Procedure on Task, SOP 163: Detailed Procedure on Task","Gloves, Face Shield, Helmet"
180,Task 180: Operation Mechanical Assembly,"SOP 831: Detailed Procedure on Task, SOP 905: Detailed Procedure on Task","Face Shield, Insulated Gloves, Respirator, Goggles"
181,Task 181: Operation Welding,"SOP 952: Detailed Procedure on Task, SOP 736: Detailed Procedure on Task, SOP 155: Detailed Procedure on Task","Ear Plugs, Goggles"
182,Task 182: Operation Mechanical Assembly,"SOP 718: Detailed Procedure on Task, SOP 685: Detailed Procedure on Task, SOP 822: Detailed Procedure on Task, SOP 328: Detailed Procedure on Task","Respirator, Insulated Gloves, Helmet, Goggles"
183,Task 183: Operation Electrical Repair,"SOP 846: Detailed Procedure on Task, SOP 990: Detailed Procedure on Task, SOP 259: Detailed Procedure on Task, SOP 551: Detailed Procedure on Task","Face Shield, Insulated Gloves, Helmet"
184,Task 184: Operation Electrical Repair,"SOP 529: Detailed Procedure on Task, SOP 251: Detailed Procedure on Task, SOP 271: Detailed Procedure on Task, SOP 293: Detailed Procedure on Task","Respirator, Helmet, Goggles"
185,Task 185: Operation Welding,"SOP 604: Detailed Procedure on Task, SOP 358: Detailed Procedure on Task, SOP 610: Detailed Procedure on Task, SOP 778: Detailed Procedure on Task","Face Shield, Ear Plugs, Gloves, Safety Boots, Apron"
186,Task 186: Operation Chemical Handling,"SOP 647: Detailed Procedure on Task, SOP 757: Detailed Procedure on Task","Helmet, Goggles, Gloves, Insulated Gloves, Respirator"
187,Task 187: Operation Welding,"SOP 611: Detailed Procedure on Task, SOP 882: Detailed Procedure on Task, SOP 576: Detailed Procedure on Task, SOP 789: Detailed Procedure on Task, SOP 407: Detailed Procedure on Task","Respirator, Helmet, Insulated Gloves"
188,Task 188: Operation Plumbing,"SOP 415: Detailed Procedure on Task, SOP 713: Detailed Procedure on Task, SOP 480: Detailed Procedure on Task, SOP 983: Detailed Procedure on Task, SOP 264: Detailed Procedure on Task","Goggles, Insulated Gloves, Apron, Face Shield"
189,Task 189: Operation Electrical Repair,"SOP 679: Detailed Procedure on Task, SOP 183: Detailed Procedure on Task","Insulated Gloves, Safety Boots, Face Shield"
190,Task 190: Operation Electrical Repair,"SOP 754: Detailed Procedure on Task, SOP 967: Detailed Procedure on Task, SOP 114: Detailed Procedure on Task, SOP 372: Detailed Procedure on Task","Gloves, Apron"
191,Task 191: Operation Electrical Repair,"SOP 579: Detailed Procedure on Task, SOP 491: Detailed Procedure on Task, SOP 818: Detailed Procedure on Task, SOP 862: Detailed Procedure on Task","Ear Plugs, Respirator"
192,Task 192: Operation Mechanical Assembly,"SOP 956: Detailed Procedure on Task, SOP 410: Detailed Procedure on Task, SOP 627: Detailed Procedure on Task, SOP 811: Detailed Procedure on Task, SOP 800: Detailed Procedure on Task","Insulated Gloves, Helmet, Ear Plugs, Apron, Safety Boots"
193,Task 193: Operation Chemical Handling,"SOP 815: Detailed Procedure on Task, SOP 782: Detailed Procedure on Task, SOP 677: Detailed Procedure on Task, SOP 604: Detailed Procedure on Task","Face Shield, Insulated Gloves, Safety Boots, Ear Plugs"
194,Task 194: Operation Chemical Handling,"SOP 527: Detailed Procedure on Task, SOP 780: Detailed Procedure on Task","Safety Boots, Insulated Gloves, Gloves"
195,Task 195: Operation Electrical Repair,"SOP 197: Detailed Procedure on Task, SOP 924: Detailed Procedure on Task, SOP 350: Detailed Procedure on Task","Goggles, Insulated Gloves, Safety Boots, Face Shield, Ear Plugs"
196,Task 196: Operation Painting,"SOP 284: Detailed Procedure on Task, SOP 729: Detailed Procedure on Task, SOP 182: Detailed Procedure on Task, SOP 154: Detailed Procedure on Task","Apron, Respirator, Gloves, Goggles, Safety Boots"
197,Task 197: Operation Painting,"SOP 288: Detailed Procedure on Task, SOP 265: Detailed Procedure on Task, SOP 517: Detailed Procedure on Task, SOP 738: Detailed Procedure on Task, SOP 337: Detailed Procedure on Task","Safety Boots, Face Shield, Apron, Gloves, Ear Plugs"
198,Task 198: Operation Mechanical Assembly,"SOP 716: Detailed Procedure on Task, SOP 133: Detailed Procedure on Task","Insulated Gloves, Gloves, Helmet, Ear Plugs, Face Shield"
199,Task 199: Operation Painting,"SOP 725: Detailed Procedure on Task, SOP 379: Detailed Procedure on Task, SOP 546: Detailed Procedure on Task, SOP 835: Detailed Procedure on Task","Insulated Gloves, Safety Boots, Respirator"
200,Task 200: Operation Electrical Repair,"SOP 470: Detailed Procedure on Task, SOP 633: Detailed Procedure on Task, SOP 265: Detailed Procedure on Task, SOP 955: Detailed Procedure on Task, SOP 118: Detailed Procedure on Task","Helmet, Insulated Gloves"
